word,wording,model,temperature,feature,k,n,rate,ci_lo,ci_hi
zikrath,W1,gpt-5.4-nano,0.0,humming_vocal,16,30,0.533,0.361,0.698
zikrath,W1,gpt-5.4-nano,0.0,bioluminescence,28,30,0.933,0.787,0.982
zikrath,W1,gpt-5.4-nano,0.0,large_eyes,1,30,0.033,0.006,0.167
zikrath,W1,gpt-5.4-nano,0.0,spiral_tail,0,30,0.000,0.000,0.114
zikrath,W1,gpt-5.4-nano,0.0,object_collecting,1,30,0.033,0.006,0.167
zikrath,W1,gpt-5.4-nano,0.0,mood_color,1,30,0.033,0.006,0.167
zikrath,W1,gpt-5.4-nano,0.0,waddle_gait,0,30,0.000,0.000,0.114
zikrath,W1,gpt-5.4-nano,0.0,shy_gentle,4,30,0.133,0.053,0.297
zikrath,W1,gpt-5.4-nano,0.0,curious,7,30,0.233,0.118,0.409
zikrath,W1,gpt-5.4-nano,0.0,name_from_sound,1,30,0.033,0.006,0.167
zikrath,W1,gpt-5.4-nano,1.0,round_body,9,50,0.180,0.098,0.308
zikrath,W1,gpt-5.4-nano,1.0,soft_texture,41,50,0.820,0.692,0.902
zikrath,W1,gpt-5.4-nano,1.0,lavender_purple,6,50,0.120,0.056,0.238
zikrath,W1,gpt-5.4-nano,1.0,six_legs,0,50,0.000,0.000,0.071
zikrath,W1,gpt-5.4-nano,1.0,humming_vocal,21,50,0.420,0.294,0.558
zikrath,W1,gpt-5.4-nano,1.0,bioluminescence,36,50,0.720,0.583,0.825
zikrath,W1,gpt-5.4-nano,1.0,large_eyes,0,50,0.000,0.000,0.071
zikrath,W1,gpt-5.4-nano,1.0,spiral_tail,1,50,0.020,0.004,0.105
zikrath,W1,gpt-5.4-nano,1.0,object_collecting,0,50,0.000,0.000,0.071
zikrath,W1,gpt-5.4-nano,1.0,mood_color,1,50,0.020,0.004,0.105
zikrath,W1,gpt-5.4-nano,1.0,waddle_gait,0,50,0.000,0.000,0.071
zikrath,W1,gpt-5.4-nano,1.0,shy_gentle,10,50,0.200,0.112,0.330
zikrath,W1,gpt-5.4-nano,1.0,curious,8,50,0.160,0.083,0.285
zikrath,W1,gpt-5.4-nano,1.0,name_from_sound,0,50,0.000,0.000,0.071
